"","Composer","nPVI_Entire","Nine_Eight","pitch_correlation","pitch_entropy","parallel_motion","similar_motion","oblique_motion","t1_1","t1_2","t1_3","t1_4","t1_5","t1_6","t1_7","t2_1","t2_2","t2_3","t2_4","t2_5","t2_6","t2_7","t3_1","t3_2","t3_3","t3_4","t3_5","t3_6","t3_7","t4_1","t4_2","t4_3","t4_4","t4_5","t4_6","t4_7","t5_1","t5_2","t5_3","t5_4","t5_5","t5_6","t5_7","t6_1","t6_2","t6_3","t6_4","t6_5","t6_6","t6_7","t7_1","t7_2","t7_3","t7_4","t7_5","t7_6","t7_7","rising_passing","downward_passing","upper_neighbor","lower_neighbor","double_neighbor_ul","double_neighbor_lu","upper_echappee","lower_echappee","ascending_short_nota_cambiata","descending_short_nota_cambiata","ascending_long_nota_cambiata","descending_long_nota_cambiata","rising_anticipation","descending_anticipation","reverse_ascending_nota_cambiata","reverse_descending_nota_cambiata","reverse_upper_echappee","reverse_lower_echappee","ternary_suspension","binary_suspension","ternary_suspension_agent","binary_suspension_agent","fake_suspension_step_up","fake_suspension_step_down","resolution_against_suspension_dissonance","suspension_repeated_note","suspension_missing_agent_approached_step_up","suspension_missing_agent_approached_step_down","dissonant_third_quarter_rising_pt","dissonant_third_quarter_falling_pt","dissonant_third_quarter_un","dissonant_third_quarter_ln","appoggiature_approached_from_below","appoggiature_approached_from_above","ascending_accented_pt","descending_accented_pt","accented_upper_neighbor","descending_lower_neighbor","chanson_idiom","unclassified_2_or7","unclassified_4","total","mvmnt"
"1","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",122.831,0,0.662111363,6.40172,0.140394089,16.63,59.7,5.171,4.51,2.2,1.98,1.54,1.43,4.84,5.061,0.66,3.63,0,0.99,0.33,0.33,0.88,3.96,0.33,5.061,1.54,0.33,0,0.99,0.55,4.84,1.1,4.95,1.32,0.11,2.2,0.88,1.21,5.391,2.97,5.391,0.44,0.77,0.33,0.33,0.77,5.721,0.66,4.29,5.831,0.22,0,0.22,0.44,3.19,0.11,30,40,4,20,7,9,9,19,6,10,2,6,6,16,4,15,2,0,4,58,3,53,1,9,1,16,12,8,0,0,4,3,4,14,1,11,2,1,8,0,0,900,"kyrie"
"2","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",121.12,0,0.563502721,5.7051,0.121387283,12.9,61.66,9.005,3.791,0.237,1.185,0.711,2.37,4.028,2.37,0.711,4.739,0,0.474,0,0.711,2.844,3.791,4.502,4.739,0.237,1.185,0,1.185,0.237,4.265,0.711,5.213,0.237,0,2.844,0.474,2.607,4.739,7.109,2.133,0.237,0.237,0.237,0.474,0.474,4.739,2.133,3.081,3.555,0,0.237,0,0.711,3.555,0.948,22,19,5,19,6,10,9,17,6,10,2,4,8,19,3,15,2,0,4,18,3,14,1,7,2,14,11,9,0,1,3,3,4,13,0,8,2,1,7,0,1,419,"kyrie"
"3","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",129.393,2,0.903223904,6.46795,0.197777778,16,58.63,4.03,3.843,1.125,1.5,0.937,0.375,4.873,4.78,0.75,4.405,0.375,0.469,0,0.375,1.406,4.967,2.343,5.53,0.187,0.281,0.469,0.843,1.5,4.592,1.406,4.78,0.656,1.5,1.5,0,1.218,5.061,2.249,5.436,0.843,0,0,0.281,0.843,4.967,0.281,4.217,4.78,0.187,1.406,0.562,1.406,3.655,2.812,51,47,4,23,5,12,11,19,9,10,2,1,6,16,2,16,2,0,4,63,3,57,1,7,1,17,11,8,1,0,3,3,4,14,0,17,2,1,8,0,0,1064,"kyrie"
"4","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",127.261,0,0.56721273,6.03088,0.117302053,15.8,55.36,4.033,5.702,1.113,0.417,0.974,2.086,5.841,5.007,1.391,3.755,1.252,1.113,0,0.417,2.364,3.755,0.695,2.921,1.53,0.556,0.139,0,0.417,3.477,0.139,5.563,0.278,0,2.225,0.695,3.199,4.312,5.424,4.868,1.252,1.808,0.556,0,0.556,5.563,0.695,3.199,4.729,0.556,0.278,0,1.113,3.894,0.139,37,14,4,20,6,11,10,17,6,11,4,4,6,16,2,14,2,0,4,43,2,39,1,6,1,14,11,9,0,0,3,3,5,14,0,12,2,1,6,0,1,728,"kyrie"
"5","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",130.523,1,0.813737022,6.05986,0.121863799,17.38,56.2,3.822,5.573,1.115,0.159,1.274,0.955,6.847,5.573,0.796,5.732,0.637,0.955,0.159,0.318,1.274,5.255,0.955,3.981,1.752,0.159,0,0.318,1.592,4.936,0.637,4.299,0,0,2.389,0.478,0.796,5.414,3.981,5.096,0.796,1.592,0.478,0.159,0.478,5.414,0.796,2.548,5.255,0.318,0,0,0.478,4.299,0.159,23,26,4,18,5,10,9,18,7,10,5,5,6,16,4,15,2,1,4,49,3,44,1,6,1,15,11,9,0,0,3,3,4,13,0,9,2,1,7,0,2,625,"kyrie"
"6","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",115.398,1,0.726835873,6.28919,0.150984683,19.24,50.68,3.157,4.786,1.222,1.018,0.815,2.037,4.379,4.481,1.324,4.175,0.509,0.815,0,2.138,1.629,4.786,1.12,3.259,0,0.102,0,0.305,2.138,1.833,0.611,5.906,0.305,0.509,1.527,0.509,2.444,5.092,3.768,4.582,1.935,0,0.204,0,1.222,5.397,0.407,4.481,5.804,0.204,0.204,0.102,2.444,4.379,1.935,28,18,4,17,5,11,9,18,6,11,2,2,8,16,3,15,2,0,4,60,2,56,2,6,1,15,11,9,0,0,3,4,4,13,0,19,2,1,8,1,0,984,"kyrie"
"7","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",113.511,1,0.66936748,5.85377,0.154255319,13.03,60.17,7.143,3.878,0.204,2.449,1.02,1.224,5.714,4.286,2.245,2.245,0.612,1.633,0.204,0.408,0,3.469,1.224,3.469,0.204,0.408,0,1.224,0.612,4.082,3.878,4.082,0.408,0.816,2.857,0.408,0.816,5.102,5.102,3.673,0,1.02,0.408,0,0.408,5.306,2.653,3.265,5.102,0.204,0,0.204,0.816,4.082,1.429,23,38,4,15,6,11,10,17,6,11,2,1,11,15,3,14,3,0,4,26,2,22,1,7,1,14,11,8,0,0,3,3,4,13,0,6,2,1,6,0,0,492,"kyrie"
"8","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",102.534,2,0.694668375,5.83245,0.161764706,13.58,61.2,8.931,4.583,1.528,1.293,2.938,1.175,4.348,3.995,1.058,4.348,0.823,1.293,0,0.235,1.175,5.405,1.763,3.525,0.588,0.94,0,1.763,0,5.64,1.058,4.465,0.118,0,3.995,0.705,0.705,4.935,4.935,3.643,0.588,0.823,0.118,0,1.175,4.348,0.47,2.703,3.29,0.118,0,0,0.705,3.408,0.353,6,4,4,13,6,11,9,18,7,11,2,1,6,16,2,16,2,0,4,12,2,6,1,6,1,16,11,9,0,0,3,3,4,15,0,6,2,1,7,0,0,853,"kyrie"
"9","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",115.258,0,0.1159258,6.0671,0.143835616,16.48,58.6,6.902,4.552,0.881,0.441,2.349,1.028,7.342,4.993,1.175,6.461,0.441,0.147,0.147,0.441,0.881,6.167,1.468,4.112,1.762,0.441,0,0.294,0.294,5.14,0.881,4.258,0.294,0,3.377,0.587,0.881,5.14,4.112,3.084,0.147,2.349,0.147,0.147,0,3.671,0,2.643,5.14,0,0.294,0,0.881,4.112,0,5,6,4,13,7,10,9,18,7,11,2,2,6,15,3,16,2,0,4,13,3,6,1,6,1,16,11,9,0,0,3,3,4,15,0,6,2,1,7,0,0,686,"kyrie"
"10","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",117.352,0,0.665900048,5.52414,0.092198582,10,64.53,4.114,4.114,2.848,0,0.633,0.633,4.747,5.38,6.013,3.481,0,0.949,0,2.848,0.949,5.38,1.582,4.747,0,0.316,0,0,0.949,2.848,0,4.747,1.266,0.316,1.582,0,2.532,4.43,8.861,2.215,0.633,0,0.633,0,0.949,4.43,0.633,2.532,5.696,0,0,0,0.949,4.43,0.633,19,19,4,21,5,12,10,17,6,11,2,7,7,15,3,15,2,0,4,25,2,20,1,6,1,16,11,9,0,0,3,3,4,13,0,8,2,1,7,0,0,314,"kyrie"
